source,target,weight
O,Y3Ba5Cu4Nb1O18,18
O,Sm0.45Ba0.55Cu1O3,3
O,Sm0.4Ba0.6Cu1O3,3
O,Sm0.33Ba0.67Cu1O7,7
O,Sm0.3Ba0.7Cu1O3,3
O,Sm0.25Ba0.75Cu1O3,3
O,Sm0.2Ba0.8Cu1O3,3
O,Sm0.35Ba0.65Cu1O3,3
O,Y1Ba2Cu3O9,9
O,Bi2Sr2Cu2O7,7
O,Bi1Sr1Cu1O,1
O,Er1Ba2Cu3O,1
O,Ho1Ba2Cu3O,1
O,Gd1Ba2Cu3O,1
O,Y1Ba2Cu3O6.9,6.9
O,Eu1.5Ba1.5Cu3O,1
O,Gd1.5Ba1.5Cu3O,1
O,Y1.5Ba1.5Cu3O,1
O,Yb1.5Ba1.5Cu3O,1
O,Y1Ba2Cu3O7,7
O,Y1Ba2Cu2.75Ni0.25O7,7
O,Y1Ba2Cu2.95Al0.05O7,7
O,Y1Ba2Cu2.9Al0.1O7,7
O,La1.85Sr0.15Cu1O4,4
O,La1.85Sr0.15Cu0.975Ni0.025O4,4
O,La1.85Sr0.15Cu0.95Ni0.05O4,4
O,Y1Ba2Cu2.89Al0.11O7,7
O,Y1Ba2Cu2.88Al0.12O7,7
O,Y1Ba2Cu2.87Al0.13O7,7
O,Y1Ba2Cu2.865Al0.135O7,7
O,Y1Ba2Cu2.82Al0.18O7,7
O,Y1Ba2Cu3O7,7
O,Y1Ba2Cu3O6.8,6.8
O,Er1Ba2Cu3O7,7
O,Y1Ba2Cu3H0.14O7,7
O,Y1Ba2Cu3H0.48O7,7
O,Y1Ba2Cu3H1O7,7
O,Y1Ba2Cu3O9,9
O,Eu1Ba2Cu3O7.1,7.1
O,Gd1Ba2Cu3O7.08,7.08
O,Dy1Ba2Cu3O6.82,6.82
O,Ho1Ba2Cu3O6.71,6.71
O,Er1Ba2Cu3O6.82,6.82
O,Tm1Ba2Cu3O6.65,6.65
O,Yb1Ba2Cu3O6.71,6.71
O,Lu1Ba2Cu3O7,7
O,Y1Ba2Cu3O6.72,6.72
O,Nd1Ba2Cu3O7.16,7.16
O,Sm1Ba2Cu3O7.11,7.11
O,La1.85Sr0.15Cu1O4,4
O,La1.85Sr0.15Cu1O4,4
O,Y1Ba2.01Cu2.81Ni0.19O6.7,6.7
O,Y1Ba2.02Cu2.18Zn0.82O7,7
O,Y1Ba1.99Cu2.847Ag0.153O6.7,6.7
O,Y1Ba2Cu2.902Pt0.098O6.4,6.4
O,Y1Ba2.01Cu2.7Co0.3O6.8,6.8
O,Y1.01Ba2.01Cu2.906Ni0.094O6.7,6.7
O,Y1Ba2Cu2.697Mn0.303O6.9,6.9
O,Y1Ba2Cu2.844Fe0.156O7,7
O,Y1.01Ba2.01Cu2.697Fe0.303O,1
O,Y1Ba2Cu3O6.9,6.9
O,Y0.99Ba1.99Cu2.847Li0.153O6.4,6.4
O,Y1.01Ba2.03Cu2.808Li0.192O6.6,6.6
O,Y1Ba2Cu2.85Fe0.15O7,7
O,Y1Ba2Cu2.85Fe0.15O7,7
O,Y1Ba2Cu2.7Fe0.3O7,7
O,Y1Ba2Cu3O7,7
O,Y1Ba2Cu2.955Fe0.045O7,7
O,Y1Ba2Cu2.955Fe0.045O7,7
O,Y1Ba2Cu2.895Fe0.105O7,7
O,Y1Ba2Cu3F0.825O,1
O,Y1Ba2Cu3F1.65O5.675,5.675
O,Y1Ba2Cu3F0.066O,1
O,Y1Ba2Cu3F0.066O,1
O,Y1Ba2Cu3F0.165O,1
O,Y1Ba2Cu3F0.016O,1
O,Y1Ba2Cu3F0.033O,1
O,Y1Ba2Cu3F0.05O,1
O,Y1Ba2Cu3O,1
O,Gd1Ba2Cu3O,1
O,Er1Ba2Cu3O,1
O,Dy1Ba2Cu3O,1
O,Ho1Ba2Cu3O,1
O,Y1Ba2Cu3O,1
O,La1.85Sr0.15Cu1O4,4
O,La1.85Sr0.15Cu0.995Ni0.005O4,4
O,La1.85Sr0.15Cu0.99Ni0.01O4,4
O,La1.85Sr0.15Cu0.98Ni0.02O4,4
O,La1.85Sr0.15Cu0.97Ni0.03O,1
O,Tl2Ca2Ba1Cu3O,1
O,Tl2Ca2Ba2Cu3O,1
O,Y1Ba2Cu3O,1
O,Y1Ba2Cu2.85Ti0.15O,1
O,Y1Ba2Cu2.7Ti0.3O,1
O,Y1Ba2Cu2.55Ti0.45O,1
O,Y1Ba2Cu2.4Ti0.6O,1
O,Y1Ba2Cu2.25Ti0.75O,1
O,Y1Ba2Cu2.1Ti0.9O,1
O,Bi1Sr1Ca1Cu2O,1
O,Bi2Sr1.8Ca1.2Cu2O,1
O,Bi2Sr3Ca4Cu8O,1
O,Bi1Sr1Ca1Cu2O,1
O,La1.85Sr0.15Cu0.925Zn0.025O4,4
O,Y1Ba2Cu3O7,7
O,Y1Ba2Cu2.841Co0.159O6.8,6.8
O,Y1Ba2.01Cu2.806Cr0.194O7.3,7.3
O,Y1Ba2Cu3O6.74,6.74
O,Y1Ba2Cu2.98Fe0.02O6.93,6.93
O,Y1Ba2Cu2.95Fe0.05O6.92,6.92
O,Y1Ba2Cu2.9Fe0.1O6.92,6.92
O,Y1Ba2Cu2.8Fe0.2O6.93,6.93
O,Y1Ba2Cu2.6Fe0.4O7,7
O,Y1Ba2Cu2.95Al0.05O6.93,6.93
O,Y1Ba2Cu2.9Al0.1O6.93,6.93
O,Y1Ba2Cu2.8Al0.2O6.91,6.91
O,Y1Ba2Cu2.7Al0.3O6.99,6.99
O,Y1Ba2Cu2.6Al0.4O7,7
O,Y1Ba2Cu2.9Ni0.1O6.87,6.87
O,Y1Ba2Cu2.8Ni0.2O6.82,6.82
O,Y1Ba2Cu2.98Co0.02O6.9,6.9
O,Y1Ba2Cu2.95Co0.05O6.92,6.92
O,Y1Ba2Cu2.9Co0.1O6.82,6.82
O,Y1Ba2Cu2.8Co0.2O6.83,6.83
O,Y1Ba2Cu2.7Co0.3O6.88,6.88
O,Y1Ba2Cu2.7Ni0.3O6.97,6.97
O,Y1Ba2Cu2.9Zn0.1O6.81,6.81
O,Y1Ba2Cu2.8Zn0.2O6.79,6.79
O,Y1Ba2Cu2.7Zn0.3O6.74,6.74
O,Y1Ba2Cu3O6.85,6.85
O,Gd1Ba2Cu3O,1
O,Gd1Ba1.8Sr0.2Cu3O,1
O,Gd1Ba1.6Sr0.4Cu3O,1
O,Gd1Ba1.4Sr0.6Cu3O,1
O,Gd1Ba1.2Sr0.8Cu3O,1
O,Gd1Ba1Sr1Cu3O,1
O,La2.89Na0.11Cu1O4,4
O,La2.89Na0.41Cu1O4,4
O,Bi1Ca1Sr1Cu2O,1
O,Bi1Ca1Sr1Cu2O,1
O,Y1Ba2Cu3O7,7
O,Ho1Ba2Cu3O7,7
O,Sm1Ba2Cu3O7,7
O,Y1Ba2Cu3O7,7
O,Eu1Ba2Cu3O,1
O,Y1Ba2Cu3O6.8,6.8
O,Nd1Ba2Cu3O,1
O,Bi1Sr1Ca1Cu2O,1
O,La1.8Sr0.2Cu1O4,4
O,Y1.2Ba0.8Cu1O4,4
O,Gd1Ba2Cu2.82Fe0.18O9,9
O,Y1.2Ba0.8Cu1O4,4
O,Er1Ba2Cu3O7,7
O,Er0.75Yb0.25Ba2Cu3O7,7
O,Er0.62Yb0.38Ba2Cu3O7,7
O,Er0.5Yb0.5Ba2Cu3O7,7
O,Er0.37Yb0.63Ba2Cu3O7,7
O,Er0.25Yb0.75Ba2Cu3O7,7
O,Yb1Ba2Cu3O7,7
O,Y1Ba2Cu2.9Fe0.1O,1
O,Y1Ba2Cu2.8Fe0.2O,1
O,Y1Ba2Cu2.7Fe0.3O,1
O,Y1Ba2Cu2.6Fe0.4O,1
O,Y1Ba2Cu2.9Ni0.1O,1
O,Y1Ba2Cu2.8Ni0.2O,1
O,Y1Ba2Cu2.9Co0.1O,1
O,Y1Ba2Cu2.7Co0.3O,1
O,Y1Ba2Cu2.6Co0.4O,1
O,Y1Ba2Cu2.9Zn0.1O,1
O,Y1Ba2Cu2.8Zn0.2O,1
O,Dy1Ba2Cu3O,1
O,Y1Ba2Cu3O,1
O,Y1Ba2Cu3O,1
O,La1.85Sr0.15Cu1O4,4
O,Y1Ba2Cu2.94Ga0.06O7,7
O,Y1Ba2Cu2.85Ga0.15O7,7
O,Y1Ba2Cu2.7Ga0.3O7,7
O,Y1Ba2Cu3O6.98,6.98
O,Y1Ba2Cu2.88Fe0.12O7,7
O,Gd1Ba2Cu3O7,7
O,Eu1Ba2Cu3O7,7
O,Nd1Ba2Cu3O,1
O,Nd1.2Ba1.8Cu3O,1
O,Nd1.08Ba1.92Cu3O,1
O,Nd1.32Ba1.68Cu3O,1
O,Y1Ba2Cu2.97Mo0.03O,1
O,Y1Ba2Cu2.94Mo0.06O,1
O,Y1Ba2Cu2.895Mo0.105O,1
O,Y1Ba2Cu2.85Mo0.15O,1
O,Y1Ba2Cu2.97Zn0.03O,1
O,Y1Ba2Cu2.94Zn0.06O,1
O,Y1Ba2Cu2.895Zn0.105O,1
O,Y1Ba2Cu2.85Zn0.15O,1
O,Y1Ba2Cu2.97Al0.03O,1
O,Y1Ba2Cu2.94Al0.06O,1
O,Y1Ba2Cu2.885Al0.105O,1
O,Y1Ba2Cu2.85Al0.15O,1
O,Y1Ba1.95La0.05Cu3O,1
O,Y1Ba1.85La0.15Cu3O,1
O,Y1Ba1.75La0.25Cu3O,1
O,Y1Ba1.65La0.35Cu3O,1
O,Y1Ba2Cu3O7,7
O,Nd1Ba2Cu3O7,7
O,Sm1Ba2Cu3O7,7
O,Eu1Ba2Cu3O7,7
O,Gd1Ba2Cu3O7,7
O,Dy1Ba2Cu3O7,7
O,Ho1Ba2Cu3O7,7
O,Er1Ba2Cu3O7,7
O,Tm1Ba2Cu3O7,7
O,Yb1Ba2Cu3O7,7
O,Y1Ba2Cu3HO7,7
O,Y1Ba2Cu3HO7,7
O,Gd1Ba2Cu3O7,7
O,Dy1Ba2Cu3O7,7
O,Sm1Ba2Cu3O7,7
O,Ho1Ba2Cu3O7,7
O,Y1Ba2Cu3O7,7
O,Nd1Ba2Cu3O7,7
O,Nd1Ba2Cu3S1O6,6
O,Nd1Ba2Cu3S1O5,5
O,Eu1Ba2Cu3S1O6,6
O,Gd1Ba2Cu3O7,7
O,Gd1Ba2Cu3S1O6,6
O,Y1Ba2Cu3O6.89,6.89
O,Y1Ba2Cu3S0.03O7.12,7.12
O,Y1Ba2Cu3S0.06O7.23,7.23
O,Y1Ba2Cu3S0.12O7.28,7.28
O,Y1Ba2Cu3O,1
O,Y1Ba2Cu2.975Zn0.025O,1
O,Y1Ba2Cu2.95Zn0.05O,1
O,Y1Ba2Cu2.925Zn0.075O,1
O,Y1Ba2Cu2.9Zn0.1O,1
O,Y1Ba2Cu2.85Zn0.15O,1
O,Y1Ba2Cu2.8Zn0.2O,1
O,Y1Ba2Cu2.7Zn0.3O,1
O,Gd1Ba2Cu3O6.9,6.9
O,Gd1Ba2Cu2.7Fe0.3O6.9,6.9
O,Gd1Ba2Cu2.7Co0.3O6.9,6.9
O,Y1Ba2Cu3O6.9,6.9
O,Bi2.2Sr2Ca0.8Cu2O8,8
O,Y1Ba2Cu2.5Ni0.5O7,7
O,La2.8Ba3.2Cu6O14.07,14.07
O,La2.6Ba3.4Cu6O14.06,14.06
O,La2.4Ba3.6Cu6O14.01,14.01
O,La2.2Ba3.8Cu6O13.86,13.86
O,La2Ba4Cu6O13.8,13.8
O,Y1La2Ba3Cu6O14.53,14.53
O,Y1La1.8Ba3.2Cu6O14.49,14.49
O,Y1La1.6Ba3.4Cu6O14.38,14.38
O,Y1La1.4Ba3.6Cu6O14.2,14.2
O,Y1La1.2Ba3.8Cu6O14.07,14.07
O,Y1La1Ba4Cu6O13.95,13.95
O,Y2La1Ba3Cu6O14.17,14.17
O,Y2La0.8Ba3.2Cu6O14.2,14.2
O,Y2La0.6Ba3.4Cu6O14.02,14.02
O,Y2La0.4Ba3.6Cu6O13.91,13.91
O,Y2La0.2Ba3.8Cu6O13.92,13.92
O,Y2La0.15Ba3.85Cu6O13.99,13.99
O,Y2La0.1Ba3.9Cu6O13.94,13.94
O,Y2Ba4Cu6O13.9,13.9
O,Y1Ba2Cu3O6.94,6.94
O,Y1Ba1.975La0.025Cu3O6.95,6.95
O,Y1Ba1.95La0.05Cu3O6.9,6.9
O,Y1Ba1.925La0.075Cu3O6.9,6.9
O,Y1Ba1.9La0.1Cu3O6.9,6.9
O,Y1Ba1.8La0.2Cu3O6.95,6.95
O,Y1Ba1.7La0.3Cu3O7,7
O,Y1Ba1.6La0.4Cu3O7.05,7.05
O,Y1Ba1.5La0.5Cu3O7.08,7.08
O,Gd1Ba2Cu3O,1
O,Gd1Ba2Cu2.925Fe0.075O,1
O,Gd1Ba2Cu2.85Fe0.15O,1
O,Gd1Ba2Cu2.775Fe0.225O,1
O,Gd1Ba2Cu2.7Fe0.3O,1
O,Y1Ba2Cu3O,1
O,Y1Ba2Cu3O,1
O,La1Ba2Cu3O,1
O,La1Ba1.75Ca0.25Cu3O,1
O,La1Ba1.25Ca0.75Cu3O,1
O,La1Ba1Ca1Cu3O,1
O,La1Ba0.5Ca1.5Cu3O,1
O,Y1Ba2Cu2.8Co0.2O7.04,7.04
O,Bi2Sr2Ca2Cu3O,1
O,Bi2Sr2Ca1Cu2O,1
O,Y1Ba2Cu2.97Co0.03O6.96,6.96
O,Y1Ba2Cu2.925Co0.075O6.97,6.97
O,Y1Ba2Cu2.85Co0.15O7.03,7.03
O,Y1Ba2Cu2.775Co0.225O6.99,6.99
O,Y1Ba2Cu2.7Co0.3O7.11,7.11
O,Y1Ba2Cu2.94Ni0.06O7.01,7.01
O,Y1Ba2Cu2.85Ni0.15O6.84,6.84
O,Y1Ba2Cu2.7Ni0.3O6.88,6.88
O,Y1Ba2Cu2.4Ni0.6O6.94,6.94
O,La1.94Sr0.06Cu1O3.995,3.995
O,La1.92Sr0.08Cu1O3.994,3.994
O,La1.89Sr0.11Cu1O3.986,3.986
O,La1.855Sr0.145Cu1O4,4
O,La1.85Sr0.15Cu1O4,4
O,La1.815Sr0.185Cu1O3.964,3.964
O,La1.78Sr0.22Cu1O3.945,3.945
O,La1.75Sr0.25Cu1O3.921,3.921
O,La1.73Sr0.27Cu1O3.913,3.913
O,La1Ba2Cu2.9O6.8,6.8
O,La1.2Ba1.8Cu3O6.98,6.98
O,Y0.875Lu0.125Ba2Cu3O,1
O,Y0.75Lu0.25Ba2Cu3O,1
O,Y0.625Lu0.375Ba2Cu3O,1
O,Y0.5Lu0.5Ba2Cu3O,1
O,Y0.375Lu0.625Ba2Cu3O,1
O,Y0.25Lu0.75Ba2Cu3O,1
O,Y0.125Lu0.875Ba2Cu3O,1
O,La1.9Ba0.1Cu1O4,4
O,La1.785Ba0.215Cu1O,1
O,La1.9Sr0.1Cu1O3.98,3.98
O,La1.875Sr0.125Cu1O,1
O,La1.85Sr0.15Cu1O3.98,3.98
O,La1.825Sr0.175Cu1O,1
O,La1.8Sr0.2Cu1O3.99,3.99
O,La1.75Sr0.25Cu1O,1
O,La1.9Ca0.1Cu1O3.967,3.967
O,La1.85Ca0.15Cu1O3.942,3.942
O,La1.8Ca0.2Cu1O3.917,3.917
O,Y1Ba2Cu3O6.94,6.94
O,Y1Ba2Cu3O6.89,6.89
O,Y1Ba2Cu3O6.84,6.84
O,Y1Ba2Cu3O6.83,6.83
O,Y1Ba2Cu3O6.75,6.75
O,Y1Ba2Cu3O6.7,6.7
O,Y1Ba2Cu3O6.4,6.4
O,Y1Ba2Cu2.955Fe0.045O6.89,6.89
O,Y1Ba2Cu2.9Fe0.1O6.92,6.92
O,Y1Ba2Cu2.52Al0.48O6.74,6.74
O,Y1Ba2Cu2.05Al0.95O6.7,6.7
O,Y1Ba2Cu2.095Al0.095O6.81,6.81
O,Y1Ba2Cu2.98Zr0.02O6.84,6.84
O,Y1Ba2Cu2.94Zr0.06O6.81,6.81
O,Y1Ba2Cu2.98Zr0.2O6.75,6.75
O,Eu1Ba2Cu3O6.76,6.76
O,Eu1Ba2Cu3O6.88,6.88
O,Y1Ba2Cu2.98Fe0.02O6.93,6.93
O,Y1Ba2Cu2.994Zn0.006O6.63,6.63
O,Sr0.25La1.75Cu1O4,4
O,Sm0.4Ba0.6Cu1O,1
O,Eu0.1La1.7Sr0.2Cu1O4,4
O,Y1Ba2Cu3O7,7
O,Y1Ba1.48Sr0.52Cu3O7,7
O,Y1Ba1.48Sr0.52Cu3O7,7
O,Eu1Ba2Cu3O,1
O,Sm1Ba2Cu3O6.85,6.85
O,Sm1.05Ba1.95Cu3O6.87,6.87
O,Sm1.15Ba1.85Cu3O6.95,6.95
O,Sm1.2Ba1.8Cu3O7.01,7.01
O,Sm1.28Ba1.72Cu3O7.03,7.03
O,Sm1.35Ba1.65Cu3O7.07,7.07
O,Nd1.32Ce0.27Sr0.41Cu1O,1
O,Y1Ba2Cu3O6.75,6.75
O,Y1Ba2Cu3O6.72,6.72
O,Y1Ba2Cu3O6.62,6.62
O,Er1Ba2Cu3O7,7
O,Bi2Ca1Sr2Cu2O8,8
O,Ba0.65K0.35Bi1O3,3
O,La2Cu1O4.13,4.13
O,La1.9Sr0.1Cu1O4,4
O,La1.75Sr0.25Cu1O4,4
O,Bi2Sr2Ca1Cu2O,1
O,Bi2Sr2Ca2Cu3O,1
O,Tl2Ca1Ba2Cu2O,1
O,Y1Ba2Cu3O6.8,6.8
O,Y1Ba2Cu3O,1
O,Y1Ba2Cu3O7,7
O,Bi2.2Ca1Sr1.9Cu2O8,8
O,Bi2Sr1.3Ca0.7Cu1O6.15,6.15
O,Bi0.8Pb0.2Sb0.05Sr1Ca1Cu2O,1
O,Bi0.8Pb0.2Sr1Ca1Cu2O,1
O,Y1Ba2Cu2.82Fe0.18O,1
O,Y1Ba2Cu2.7Fe0.3O,1
O,Bi4.4Sr3.6Ca2Cu4O,1
O,Pb0.3Bi1.7Sr2Ca2Cu3O10,10
O,Y1Ba2Cu3O6.55,6.55
O,Ba0.6K0.4Bi1O3,3
O,Y1Ba2Cu2.85Ag0.15O7,7
O,Y1Ba2Cu3O6.9,6.9
O,Y1Ba2Cu3O6.82,6.82
O,Y1Ba2Cu3O6.66,6.66
O,Y1Ba2Cu3O6.47,6.47
O,Y1Ba2Cu3O6.46,6.46
O,Tl1Sr2Ca0.5Sm0.5Cu2O6.75,6.75
O,Y1Ba2Cu4O8,8
O,Tl1Ba1.1La0.9Cu1O5,5
O,Tl1Ba1.2La0.8Cu1O5,5
O,Nd1.85Ce0.15Cu1O4,4
O,Y1Ba2Cu3O6.86,6.86
O,Y1Ba2Cu3O6.96,6.96
O,Tl2Ca2Ba2Cu3O,1
O,Y1Ba2Cu2.95Ni0.05O,1
O,Y1Ba2Cu2.9Ni0.1O,1
O,Y1Ba2Cu2.95Zn0.05O,1
O,Y1Ba2Cu2.9Zn0.1O,1
O,Nd1Ba2Cu3O,1
O,Nd1Ba2Cu2.95Ni0.05O,1
O,Nd1Ba2Cu2.9Ni0.1O,1
O,Nd1Ba2Cu2.95Zn0.05O,1
O,Nd1Ba2Cu2.9Zn0.1O,1
O,Gd1Ba2Cu3O,1
O,Gd1Ba2Cu2.95Ni0.05O,1
O,Gd1Ba2Cu2.9Ni0.1O,1
O,Gd1Ba2Cu2.95Zn0.05O,1
O,Gd1Ba2Cu2.9Zn0.1O,1
O,Dy1Ba2Cu3O,1
O,Dy1Ba2Cu2.95Ni0.05O,1
O,Dy1Ba2Cu2.9Ni0.1O,1
O,Dy1Ba2Cu2.95Zn0.05O,1
O,Dy1Ba2Cu2.9Zn0.1O,1
O,Er1Ba2Cu3O,1
O,Er1Ba2Cu2.95Ni0.05O,1
O,Er1Ba2Cu2.9Ni0.1O,1
O,Er1Ba2Cu2.95Zn0.05O,1
O,Er1Ba2Cu2.9Zn0.1O,1
O,Bi2Sr1.3Ca0.7Cu1O8,8
O,La1Ba1Ca1Cu3O6.98,6.98
O,Er1Ba2Cu3O6.15,6.15
O,Er1Ba2Cu3O6.34,6.34
O,Er1Ba2Cu3O6.31,6.31
O,Er1Ba2Cu3O6.67,6.67
O,Er1Ba2Cu3O6.91,6.91
O,Ba0.6K0.4Bi1O3,3
O,La1.9Sr0.1Cu1O4,4
O,La1.85Sr0.15Cu1O4,4
O,La1.8Sr0.2Cu1O4,4
O,La1.7Sr0.3Cu1O4,4
O,Y1Ba2Cu3O7,7
O,Y1Ba2Cu3O7,7
O,Y1Ba2Cu3O6.962,6.962
O,Y1Ba2La1.94Cu3O6.963,6.963
O,Y1Ba1.92La0.08Cu3O6.965,6.965
O,Y1Ba1.9La0.1Cu3O6.975,6.975
O,Y1Ba1.86La0.14Cu3O6.98,6.98
O,Y1Ba1.8La0.2Cu3O7.013,7.013
O,Y1Ba1.76La0.24Cu3O7.024,7.024
O,Y1Ba1.7La0.3Cu3O7.059,7.059
O,Y1Ba1.66La0.34Cu3O7.073,7.073
O,Y1Ba1.6La0.4Cu3O7.083,7.083
O,Y1Ba1.54La0.46Cu3O7.118,7.118
O,Y1Ba2Cu2.95Co0.05O6.88,6.88
O,Y1Ba2Cu2.9Co0.1O6.89,6.89
O,Y1Ba2Cu2.7Co0.3O6.93,6.93
O,Y1Ba2Cu2.82Fe0.18O7,7
O,Y1Ba2Cu2.64Fe0.36O7,7
O,Bi2Ca1Sr2Cu2O8,8
O,Bi2Ca2Sr1Cu2O8,8
O,Bi2Ca1.5Y0.5Sr1Cu2O8,8
O,Tl2Ca2Ba2Cu3O,1
O,Tl2Ca1Ba2Cu2O,1
O,Nd1.85Ce0.15Cu1O4,4
O,Nd1.3Ce0.2Sr0.5Cu1O4,4
O,La2Cu1O4,4
O,Tb1Pb1Sr2Ca3Cu4O,1
O,Ho1Pb1Sr2Ca3Cu4O,1
O,Er1Pb1Sr2Ca3Cu4O,1
O,Tm1Pb1Sr2Ca3Cu4O,1
O,Yb1Pb1Sr2Ca3Cu4O,1
O,Lu1Pb1Sr2Ca3Cu4O,1
O,Y1Pb1Sr2Ca3Cu4O,1
O,La1Pb1Sr2Ca3Cu4O,1
O,Ce1Pb1Sr2Ca3Cu4O,1
O,Pr1Pb1Sr2Ca3Cu4O,1
O,Nd1Pb1Sr2Ca3Cu4O,1
O,Sm1Pb1Sr2Ca3Cu4O,1
O,Eu1Pb1Sr2Ca3Cu4O,1
O,Gd1Pb1Sr2Ca3Cu4O,1
O,Nd1.2Ce0.35Sr0.45Cu1O4,4
O,Nd1Ba2Cu3O7,7
O,Nd1.1Ba1.9Cu3O7,7
O,Nd1.2Ba1.8Cu3O7,7
O,Nd1.3Ba1.7Cu3O7,7
O,Y1Ba2Cu3O,1
O,Tl2Ba2Ca2Cu3O,1
O,Gd1Ba2Cu2.64Fe0.36O6.99,6.99
